id,fasta
PF00026,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00026.fasta
PF00079,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00079.fasta
PF00113,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00113.fasta
PF00135,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00135.fasta
PF00147,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00147.fasta
PF00148,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00148.fasta
PF00152,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00152.fasta
PF00162,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00162.fasta
PF00180,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00180.fasta
PF00199,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00199.fasta
PF00202,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00202.fasta
PF00206,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00206.fasta
PF00217,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00217.fasta
PF00224,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00224.fasta
PF00268,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00268.fasta
PF00275,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00275.fasta
PF00282,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00282.fasta
PF00285,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00285.fasta
PF00305,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00305.fasta
PF00331,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00331.fasta
PF00342,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00342.fasta
PF00365,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00365.fasta
PF00405,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00405.fasta
PF00464,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00464.fasta
PF00465,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00465.fasta
PF00496,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00496.fasta
PF00682,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00682.fasta
PF00698,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00698.fasta
PF00701,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00701.fasta
PF00710,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00710.fasta
PF00724,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00724.fasta
PF00740,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00740.fasta
PF00749,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00749.fasta
PF00759,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00759.fasta
PF00797,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00797.fasta
PF00840,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF00840.fasta
PF01026,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01026.fasta
PF01041,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01041.fasta
PF01053,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01053.fasta
PF01055,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01055.fasta
PF01156,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01156.fasta
PF01180,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01180.fasta
PF01212,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01212.fasta
PF01425,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01425.fasta
PF01433,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF01433.fasta
PF02126,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF02126.fasta
PF02569,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF02569.fasta
PF02615,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF02615.fasta
PF02836,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF02836.fasta
PF03180,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF03180.fasta
PF03480,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF03480.fasta
PF03727,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF03727.fasta
PF05544,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF05544.fasta
PF13458,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF13458.fasta
PF13714,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF13714.fasta
PF16363,/users/cn/lmansouri/PROJECTS/AF2_predictions_on_titration/fasta/PF16363.fasta
